start_ms,end_ms,type,description,exp_name
82516514,82526162,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82526162,82537058,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82537058,82546770,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82546770,82557858,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82557858,82571666,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82571666,82582818,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82582818,82594002,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82594002,82619874,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82619874,82675154,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82675154,82685538,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82685538,82755154,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82755154,82765922,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82765922,82890002,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82890002,82900770,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82900770,82972946,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82972946,82984034,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82984034,83038610,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83038610,83049506,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83049506,83123474,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83123474,83134498,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83134498,83147986,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83147986,83159138,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83159138,83238930,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83238930,83249698,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83249698,83357714,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83357714,83368738,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83368738,83401426,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83401426,83412386,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83412386,83466834,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83466834,83477858,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83477858,83514770,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83514770,83525538,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83525538,83575634,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83575634,83598498,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83598498,83642706,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83642706,83662882,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83662882,83698386,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83698386,83715426,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83715426,83747218,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83747218,83761442,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83761442,83771410,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83771410,83798178,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83798178,83830738,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83830738,83843746,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
83843746,83874490,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
